Wavelength (nm),Scan 1 Absorbance,Scan 2 Absorbance,Scan 3 Absorbance,Scan 4 Absorbance,Scan 5 Absorbance,Average Absorbance
901.1779,0.18413386,0.18868925,0.19303903,0.18811256,0.18597066,0.18798907
905.0979,0.18871287,0.19125500,0.19089581,0.18841529,0.18611789,0.18907937
909.0136,0.19151889,0.19273248,0.19608350,0.18950896,0.19290613,0.19254999
912.925,0.19324910,0.19468874,0.19611128,0.18968512,0.19338703,0.19342425
916.8321,0.19695002,0.19966812,0.20314991,0.19343260,0.19478512,0.19759715
922.0349,0.19677459,0.19762193,0.20083424,0.19562484,0.19697781,0.19756668
925.932,0.19485988,0.20097657,0.20223849,0.19609424,0.19920799,0.19867543
929.8248,0.19821629,0.20164831,0.20435153,0.19881082,0.20132218,0.20086983
933.7133,0.19735153,0.20217462,0.20297489,0.19797412,0.20194337,0.20048371
937.59753,0.20191473,0.20647673,0.20554020,0.20084670,0.20219424,0.20339452
941.4775,0.20284347,0.20579836,0.20729920,0.19963172,0.20519876,0.20415430
945.35315,0.20353001,0.20844774,0.20903740,0.20207596,0.20596544,0.20581131
949.2245,0.20581968,0.20957315,0.21187538,0.20696089,0.20751558,0.20834894
953.0915,0.20647594,0.21157743,0.21197371,0.20627148,0.20903978,0.20906767
956.9543,0.20853354,0.21200450,0.21436112,0.20838667,0.21090484,0.21083813
960.81274,0.21093420,0.21347916,0.21514769,0.21088667,0.21350041,0.21278963
965.9507,0.21416308,0.21710324,0.21835758,0.21204756,0.21564813,0.21546392
969.79913,0.21519765,0.21910629,0.21908952,0.21522847,0.21757770,0.21723993
973.6433,0.21753326,0.21982701,0.22097613,0.21551510,0.21879083,0.21852847
977.48315,0.21902433,0.22152881,0.22330436,0.21741313,0.22098870,0.22045187
981.3187,0.22008964,0.22325416,0.22486767,0.22007048,0.22263694,0.22218378
985.15,0.22257630,0.22572494,0.22626168,0.22172342,0.22452850,0.22416297
988.977,0.22348721,0.22686470,0.22739245,0.22302070,0.22570346,0.22529370
992.7997,0.22631982,0.22900039,0.22862214,0.22467539,0.22720622,0.22716479
996.6181,0.22742926,0.22992696,0.23081942,0.22600392,0.22894780,0.22862547
1000.43225,0.22859958,0.23112436,0.23257117,0.22769740,0.23064896,0.23012829
1004.24207,0.23037331,0.23256710,0.23310712,0.22967522,0.23147170,0.23143889
1009.3151,0.23293032,0.23478538,0.23540230,0.23161470,0.23386836,0.23372021
1013.1149,0.23418792,0.23743430,0.23777479,0.23375155,0.23617592,0.23586490
1016.91046,0.23611733,0.23877478,0.23954086,0.23582220,0.23774405,0.23759984
1020.70166,0.23912661,0.23954684,0.24087273,0.23733096,0.23924771,0.23922497
1024.4886,0.23975949,0.24198942,0.24235868,0.23820662,0.24139728,0.24074230
1028.2712,0.24023719,0.24260771,0.24354741,0.23950186,0.24202330,0.24158349
1032.0496,0.24219622,0.24450625,0.24521440,0.24167196,0.24386746,0.24349126
1035.8236,0.24415036,0.24632415,0.24599664,0.24285202,0.24422048,0.24470873
1039.5934,0.24488176,0.24695826,0.24696018,0.24259734,0.24441935,0.24516338
1043.3589,0.24477778,0.24726646,0.24783342,0.24410272,0.24669075,0.24613423
1047.12,0.24665424,0.24908477,0.25004506,0.24535447,0.24801928,0.24783156
1052.1283,0.24833190,0.25021120,0.25066295,0.24742404,0.24895677,0.24911737
1055.8794,0.24877799,0.25103262,0.25195137,0.24833420,0.24931070,0.24988138
1059.6262,0.25050107,0.25215190,0.25321597,0.24947820,0.25214997,0.25149942
1063.3689,0.25085503,0.25319114,0.25408036,0.25045950,0.25302702,0.25232261
1067.1072,0.25309210,0.25487754,0.25528777,0.25096880,0.25429770,0.25370478
1070.8411,0.25455570,0.25614697,0.25704366,0.25278592,0.25564423,0.25523530
1074.5708,0.25415290,0.25691430,0.25716808,0.25404325,0.25676706,0.25580912
1078.2963,0.25645083,0.25800574,0.25900010,0.25495347,0.25711238,0.25710450
1082.0173,0.25708956,0.25833753,0.25961240,0.25631815,0.25714764,0.25770106
