Wavelength (nm),Scan 1 Reflectance,Scan 2 Reflectance,Scan 3 Reflectance,Scan 4 Reflectance,Scan 5 Reflectance,Average Reflectance
901.1779,0.65443443,0.64760583,0.64115195,0.64846634,0.65167242,0.64866620
905.0979,0.64757061,0.64379115,0.64432382,0.64801448,0.65145153,0.64703032
909.0136,0.64340008,0.64160468,0.63667310,0.64638466,0.64134818,0.64188214
912.925,0.64084190,0.63872110,0.63663237,0.64612252,0.64063840,0.64059126
916.8321,0.63540405,0.63143969,0.62639761,0.64057119,0.63857936,0.63447838
922.0349,0.63566077,0.63442176,0.62974650,0.63734585,0.63536339,0.63450765
925.932,0.63846945,0.62954015,0.62771356,0.63665735,0.63210905,0.63289791
929.8248,0.63355411,0.62856716,0.62466687,0.63268739,0.62903936,0.62970298
933.7133,0.63481689,0.62780588,0.62665010,0.63390749,0.62814026,0.63026412
937.59753,0.62818168,0.62161755,0.62295948,0.62972843,0.62777752,0.62605293
941.4775,0.62683975,0.62258928,0.62044144,0.63149262,0.62344944,0.62496251
945.35315,0.62584962,0.61880279,0.61796318,0.62794852,0.62234981,0.62258278
949.2245,0.62255872,0.61720133,0.61393815,0.62092495,0.62013240,0.61895111
953.0915,0.62161868,0.61435949,0.61379916,0.62191140,0.61795979,0.61792971
956.9543,0.61868055,0.61375565,0.61043423,0.61888981,0.61531168,0.61541438
960.81274,0.61527009,0.61167515,0.60932965,0.61533743,0.61164523,0.61265151
965.9507,0.61071266,0.60659211,0.60484267,0.61369480,0.60862792,0.60889403
969.79913,0.60925956,0.60380084,0.60382415,0.60921632,0.60592978,0.60640613
973.6433,0.60599179,0.60279965,0.60120678,0.60881438,0.60423958,0.60461044
977.48315,0.60391480,0.60044218,0.59799237,0.60615944,0.60118938,0.60193963
981.3187,0.60243523,0.59806149,0.59584367,0.60246181,0.59891206,0.59954285
985.15,0.59899569,0.59466867,0.59393418,0.60017317,0.59630919,0.59681618
988.977,0.59774065,0.59311007,0.59238977,0.59838307,0.59469808,0.59526433
992.7997,0.59385468,0.59020055,0.59071481,0.59610753,0.59264385,0.59270428
996.6181,0.59233956,0.58894270,0.58773368,0.59428679,0.59027202,0.59071495
1000.43225,0.59074550,0.58732115,0.58536780,0.59197396,0.58796441,0.58867456
1004.24207,0.58833772,0.58537329,0.58464586,0.58928418,0.58685161,0.58689853
1009.3151,0.58488392,0.58239095,0.58156425,0.58665841,0.58362198,0.58382390
1013.1149,0.58319270,0.57884955,0.57839591,0.58377898,0.58052921,0.58094927
1016.91046,0.58060754,0.57706565,0.57604862,0.58100223,0.57843685,0.57863218
1020.70166,0.57659834,0.57604069,0.57428473,0.57898730,0.57643758,0.57646973
1024.4886,0.57575870,0.57280999,0.57232316,0.57782108,0.57359152,0.57446089
1028.2712,0.57512575,0.57199508,0.57075877,0.57610035,0.57276530,0.57334905
1032.0496,0.57253729,0.56950003,0.56857217,0.57322885,0.57033830,0.57083533
1035.8236,0.56996691,0.56712116,0.56754900,0.57167339,0.56987489,0.56923707
